Price,Close,High,Low,Open,Volume,MA,Volatility
Ticker,BPAC11.SA,BPAC11.SA,BPAC11.SA,BPAC11.SA,BPAC11.SA,,
Date,,,,,,,
2025-02-03,32.0,32.65999984741211,31.899999618530273,32.52000045776367,7490300,,
2025-02-04,31.6200008392334,32.099998474121094,31.3700008392334,31.899999618530273,8052500,,
2025-02-05,31.700000762939453,31.81999969482422,30.90999984741211,31.440000534057617,7522400,,
2025-02-06,32.099998474121094,32.310001373291016,31.239999771118164,31.65999984741211,8169400,,
2025-02-07,32.119998931884766,32.5,31.940000534057617,32.099998474121094,10328400,31.907999801635743,0.23263606792850794
