Price,Close,High,Low,Open,Volume,MA,Volatility
Ticker,BBAS3.SA,BBAS3.SA,BBAS3.SA,BBAS3.SA,BBAS3.SA,,
Date,,,,,,,
2025-02-03,27.610000610351562,27.719999313354492,27.360000610351562,27.600000381469727,13290300,,
2025-02-04,27.770000457763672,28.079999923706055,27.469999313354492,27.579999923706055,16154100,,
2025-02-05,27.829999923706055,28.1200008392334,27.59000015258789,27.81999969482422,13663000,,
2025-02-06,28.149999618530273,28.190000534057617,27.579999923706055,27.829999923706055,13960200,,
2025-02-07,27.780000686645508,28.280000686645508,27.670000076293945,28.149999618530273,15270100,27.828000259399413,0.1980400015762935
