Price,Close,High,Low,Open,Volume,MA,Volatility
Ticker,ASAI3.SA,ASAI3.SA,ASAI3.SA,ASAI3.SA,ASAI3.SA,,
Date,,,,,,,
2025-02-03,6.860000133514404,6.960000038146973,6.639999866485596,6.71999979019165,11494200,,
2025-02-04,6.760000228881836,6.900000095367432,6.579999923706055,6.840000152587891,14743200,,
2025-02-05,6.840000152587891,6.929999828338623,6.630000114440918,6.75,12476200,,
2025-02-06,6.980000019073486,7.139999866485596,6.800000190734863,6.800000190734863,14161200,,
2025-02-07,7.059999942779541,7.110000133514404,6.929999828338623,6.980000019073486,23962500,6.900000095367432,0.11916363923471929
