Price,Close,High,Low,Open,Volume,MA,Volatility
Ticker,AMER3.SA,AMER3.SA,AMER3.SA,AMER3.SA,AMER3.SA,,
Date,,,,,,,
2025-02-03,6.420000076293945,6.630000114440918,6.380000114440918,6.550000190734863,1585500,,
2025-02-04,6.380000114440918,6.46999979019165,6.309999942779541,6.409999847412109,1298200,,
2025-02-05,6.239999771118164,6.409999847412109,6.139999866485596,6.409999847412109,1358300,,
2025-02-06,6.199999809265137,6.289999961853027,6.159999847412109,6.269999980926514,2075600,,
2025-02-07,5.96999979019165,6.340000152587891,5.909999847412109,6.170000076293945,1826800,6.241999912261963,0.17782026727812061
