Price,Close,High,Low,Open,Volume,MA,Volatility
Ticker,BBDC3.SA,BBDC3.SA,BBDC3.SA,BBDC3.SA,BBDC3.SA,,
Date,,,,,,,
2025-02-03,10.99275016784668,11.052655628845551,10.872938293668803,10.982765606953489,6323600,,
2025-02-04,10.949999809265137,11.0600004196167,10.859999656677246,11.010000228881836,6547000,,
2025-02-05,11.109999656677246,11.1899995803833,10.850000381469727,11.039999961853027,7975900,,
2025-02-06,11.229999542236328,11.319999694824219,10.960000038146973,11.109999656677246,7145900,,
2025-02-07,10.880000114440918,11.279999732971191,10.779999732971191,11.15999984741211,12528700,11.032549858093262,0.13843301562718136
