Price,Close,High,Low,Open,Volume,MA,Volatility
Ticker,ABEV3.SA,ABEV3.SA,ABEV3.SA,ABEV3.SA,ABEV3.SA,,
Date,,,,,,,
2025-02-03,11.029999732971191,11.220000267028809,10.960000038146973,11.149999618530273,29524300,,
2025-02-04,10.899999618530273,11.0,10.819999694824219,11.0,23133400,,
2025-02-05,10.819999694824219,10.9399995803833,10.720000267028809,10.9399995803833,44675800,,
2025-02-06,10.859999656677246,10.899999618530273,10.729999542236328,10.800000190734863,24218200,,
2025-02-07,10.850000381469727,10.920000076293945,10.800000190734863,10.859999656677246,33491500,10.891999816894531,0.08227993994809842
