Price,Close,High,Low,Open,Volume,MA,Volatility
Ticker,BBSE3.SA,BBSE3.SA,BBSE3.SA,BBSE3.SA,BBSE3.SA,,
Date,,,,,,,
2025-02-03,39.029998779296875,39.029998779296875,38.279998779296875,38.540000915527344,4495700,,
2025-02-04,38.9900016784668,39.08000183105469,38.56999969482422,39.029998779296875,3698900,,
2025-02-05,39.27000045776367,39.459999084472656,38.880001068115234,39.20000076293945,3355500,,
2025-02-06,39.72999954223633,39.77000045776367,39.150001525878906,39.150001525878906,3756100,,
2025-02-07,39.29999923706055,39.86000061035156,39.2599983215332,39.7400016784668,4568800,39.263999938964844,0.2950928563267547
