Price,Close,High,Low,Open,Volume,MA,Volatility
Ticker,BEEF3.SA,BEEF3.SA,BEEF3.SA,BEEF3.SA,BEEF3.SA,,
Date,,,,,,,
2025-02-03,4.820000171661377,4.920000076293945,4.769999980926514,4.78000020980835,5400000,,
2025-02-04,4.679999828338623,4.809999942779541,4.679999828338623,4.809999942779541,4933600,,
2025-02-05,4.590000152587891,4.699999809265137,4.559999942779541,4.699999809265137,5711300,,
2025-02-06,4.659999847412109,4.699999809265137,4.570000171661377,4.590000152587891,5109600,,
2025-02-07,4.440000057220459,4.659999847412109,4.440000057220459,4.639999866485596,8543200,4.638000011444092,0.13863621825093833
