Price,Close,High,Low,Open,Volume,MA,Volatility
Ticker,ALPA4.SA,ALPA4.SA,ALPA4.SA,ALPA4.SA,ALPA4.SA,,
Date,,,,,,,
2025-02-03,6.309999942779541,6.349999904632568,6.119999885559082,6.199999809265137,1575700,,
2025-02-04,6.28000020980835,6.340000152587891,6.159999847412109,6.300000190734863,969500,,
2025-02-05,6.239999771118164,6.349999904632568,6.150000095367432,6.340000152587891,1569600,,
2025-02-06,6.429999828338623,6.460000038146973,6.210000038146973,6.260000228881836,1673600,,
2025-02-07,6.369999885559082,6.46999979019165,6.300000190734863,6.46999979019165,2137900,6.325999927520752,0.0750332861470679
