Price,Close,High,Low,Open,Volume,MA,Volatility
Ticker,AZUL4.SA,AZUL4.SA,AZUL4.SA,AZUL4.SA,AZUL4.SA,,
Date,,,,,,,
2025-02-03,4.340000152587891,4.619999885559082,4.269999980926514,4.610000133514404,22172200,,
2025-02-04,4.170000076293945,4.369999885559082,4.170000076293945,4.360000133514404,12811800,,
2025-02-05,3.799999952316284,4.239999771118164,3.7799999713897705,4.170000076293945,26980300,,
2025-02-06,3.930000066757202,4.019999980926514,3.7699999809265137,3.799999952316284,20139600,,
2025-02-07,3.7799999713897705,4.0,3.700000047683716,3.950000047683716,19278300,4.004000043869018,0.24378276716215627
